acc,miou,sen,timestamp,sw-version,model-name,epoch run
0.912309068,0.513698418,0.445523285,2024-04-29-12-59-23,1.0.0,model.best,10ep run 1
0.890885942,0.51879188,0.579645645,2024-04-29-13-14-18,1.0.0,model.best0,10ep run 1
0.772227673,0.429180401,0.722255324,2024-04-29-13-35-57,1.0.0,model.best1,10ep run 1
0.854015217,0.490792542,0.645815185,2024-04-29-14-12-04,1.0.0,model.best3,10ep run 1
0.815225032,0.46257313,0.581380761,2024-04-29-14-30-12,1.0.0,model.best4,10ep run 1
0.774129559,0.429797941,0.697336991,2024-04-29-14-47-39,1.0.0,model.best6,10ep run 1
0.730498635,0.41012303,0.68559117,2024-04-29-15-12-19,1.0.0,model.best,8ep run 1
0.868046487,0.497824093,0.660485307,2024-04-29-15-38-29,1.0.1,model.best1,8ep run 1
0.892033898,0.4566809,0.172840755,2024-04-29-17-14-54,1.0.1,model.best,10ep run 2
0.82280634,0.444164746,0.446740411,2024-04-29-17-34-53,1.0.1,model.best,24ep run 1
0.9116572920023281,0.5175864330090818,0.46263421289515033,2024-04-29-18-27-54,,model.last23,24ep run 1